,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.129908485150283,70.0,0.0001,2.0,40.0
1,1,1_0,COMPLETED,Sobol,0.073876678810648,25.0,100000000.0,4.0,25.0
2,2,2_0,COMPLETED,Sobol,0.235942580717853,10.0,0.01,2.0,55.0
3,3,3_0,COMPLETED,Sobol,0.02046800911822,40.0,1000000.0,6.0,5.0
4,4,4_0,COMPLETED,Sobol,0.034357078067176,55.0,100.0,4.0,15.0
5,5,5_0,COMPLETED,Sobol,0.479456725280483,5.0,10000.0,1.0,60.0
6,6,6_0,COMPLETED,Sobol,0.134313838993137,15.0,0.0001,6.0,30.0
7,7,7_0,COMPLETED,Sobol,0.249551253118743,10.0,10000000000.0,3.0,45.0
8,8,8_0,COMPLETED,Sobol,0.20483213281112,100.0,0.0001,5.0,55.0
9,9,9_0,COMPLETED,Sobol,0.060350632583622,15.0,1000000.0,3.0,10.0
10,10,10_0,COMPLETED,Sobol,0.313125496702223,5.0,0.0001,5.0,40.0
11,11,11_0,COMPLETED,Sobol,0.116975562066177,55.0,100000000.0,1.0,30.0
12,12,12_0,COMPLETED,LogExpectedImprovement,0.050922423149897,10.0,10000000000.0,6.0,5.0
13,13,13_0,COMPLETED,LogExpectedImprovement,0.016311663939697,40.0,0.0001,2.0,5.0
14,14,14_0,COMPLETED,LogExpectedImprovement,0.31623748276911,40.0,100.0,1.0,5.0
15,15,15_0,COMPLETED,LogExpectedImprovement,0.022829029105716,40.0,0.0001,4.0,10.0
16,16,16_0,COMPLETED,LogExpectedImprovement,0.053203193750187,40.0,100.0,6.0,15.0
17,17,17_0,COMPLETED,LogExpectedImprovement,0.047299269197902,55.0,10000.0,5.0,20.0
18,18,18_0,COMPLETED,LogExpectedImprovement,0.050985365828793,15.0,1000000.0,5.0,5.0
19,19,19_0,COMPLETED,LogExpectedImprovement,0.165935661910047,100.0,100.0,4.0,20.0
20,20,20_0,COMPLETED,LogExpectedImprovement,0.066684500200603,40.0,0.01,3.0,5.0
21,21,21_0,COMPLETED,LogExpectedImprovement,0.019430814925574,40.0,0.0001,2.0,10.0
22,22,22_0,COMPLETED,LogExpectedImprovement,0.065475307935967,40.0,0.01,2.0,5.0
23,23,23_0,COMPLETED,LogExpectedImprovement,0.076820334653917,25.0,100.0,4.0,5.0
24,24,24_0,COMPLETED,LogExpectedImprovement,0.084236568656363,15.0,1000000.0,6.0,15.0
25,25,22_0,COMPLETED,LogExpectedImprovement,0.038225388974814,40.0,100.0,2.0,5.0
26,26,26_0,COMPLETED,LogExpectedImprovement,0.030273701965695,15.0,0.0001,2.0,5.0
27,27,27_0,COMPLETED,LogExpectedImprovement,0.039110902678085,25.0,0.01,4.0,15.0
28,28,28_0,COMPLETED,LogExpectedImprovement,0.018619950350998,40.0,0.0001,5.0,5.0
29,29,29_0,COMPLETED,LogExpectedImprovement,0.05098658430472,10.0,10000000000.0,5.0,5.0
30,30,30_0,COMPLETED,LogExpectedImprovement,0.022254908878923,25.0,0.0001,2.0,5.0
31,31,31_0,COMPLETED,LogExpectedImprovement,0.05331707221093,55.0,100000000.0,5.0,5.0
32,32,32_0,COMPLETED,LogExpectedImprovement,0.055560838279481,55.0,0.0001,2.0,5.0
33,33,33_0,COMPLETED,LogExpectedImprovement,0.042197475382112,40.0,0.0001,4.0,20.0
34,34,34_0,COMPLETED,LogExpectedImprovement,0.130604145497953,5.0,0.0001,2.0,10.0
35,35,22_0,COMPLETED,LogExpectedImprovement,0.024447918222108,40.0,10000.0,2.0,5.0
36,36,36_0,COMPLETED,LogExpectedImprovement,0.035051094577205,40.0,0.0001,5.0,15.0
37,37,22_0,COMPLETED,LogExpectedImprovement,0.018108372184537,40.0,1000000.0,2.0,5.0
38,38,38_0,COMPLETED,LogExpectedImprovement,0.065517278466589,55.0,0.0001,6.0,5.0
39,39,39_0,COMPLETED,LogExpectedImprovement,0.024907846070236,25.0,0.0001,6.0,5.0
40,40,22_0,COMPLETED,LogExpectedImprovement,0.014443475750742,40.0,100000000.0,2.0,5.0
