,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.188318477237443,25.0,100.0,6.0,35.0
1,1,1_0,COMPLETED,Sobol,0.020317699411658,40.0,1000000.0,3.0,10.0
2,2,2_0,COMPLETED,Sobol,0.022439484026102,70.0,0.0001,5.0,60.0
3,3,3_0,COMPLETED,Sobol,0.086768374666827,10.0,10000000000.0,2.0,20.0
4,4,4_0,COMPLETED,Sobol,0.203742800352143,5.0,0.0001,3.0,25.0
5,5,5_0,COMPLETED,Sobol,0.1997441542777,100.0,100.0,6.0,50.0
6,6,6_0,COMPLETED,Sobol,0.039193951264181,55.0,0.01,1.0,5.0
7,7,7_0,COMPLETED,Sobol,0.309858005351267,15.0,10000.0,4.0,45.0
8,8,8_0,COMPLETED,Sobol,0.302592867749937,15.0,0.0001,1.0,55.0
9,9,9_0,COMPLETED,Sobol,0.15198796146529,10.0,10000000000.0,4.0,30.0
10,10,10_0,COMPLETED,Sobol,0.166594749767977,100.0,100.0,3.0,45.0
11,11,11_0,COMPLETED,Sobol,0.137402156305033,5.0,10000.0,6.0,10.0
12,12,12_0,COMPLETED,UpperConfidence,0.239531706432353,55.0,0.0001,3.0,55.0
13,13,13_0,COMPLETED,UpperConfidence,0.23716036408745,100.0,0.0001,6.0,60.0
14,14,14_0,COMPLETED,UpperConfidence,0.016641990190032,40.0,100000000.0,3.0,10.0
15,15,15_0,COMPLETED,UpperConfidence,0.048674111288145,10.0,10000000000.0,3.0,5.0
16,16,16_0,COMPLETED,UpperConfidence,0.17556704865759,100.0,100.0,3.0,10.0
17,17,17_0,COMPLETED,UpperConfidence,0.060353581265985,10.0,10000000000.0,3.0,10.0
18,18,17_0,COMPLETED,UpperConfidence,0.074768484445228,10.0,10000000000.0,3.0,15.0
19,19,19_0,COMPLETED,UpperConfidence,0.093664244336056,10.0,10000000000.0,3.0,20.0
20,20,19_0,COMPLETED,UpperConfidence,0.115673492187913,10.0,10000000000.0,3.0,25.0
21,21,21_0,COMPLETED,UpperConfidence,0.021829794713049,25.0,100000000.0,3.0,5.0
22,22,16_0,COMPLETED,UpperConfidence,0.311552629383153,100.0,0.0001,3.0,10.0
23,23,23_0,COMPLETED,UpperConfidence,0.18543405573695,100.0,100.0,3.0,5.0
24,24,24_0,COMPLETED,UpperConfidence,0.057672997577641,25.0,1000000.0,3.0,20.0
25,25,25_0,COMPLETED,UpperConfidence,0.014932935400262,40.0,100000000.0,3.0,5.0
