,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.023735245595036,25.0,100000000.0,5.0,5.0
1,1,1_0,COMPLETED,Sobol,0.152371876407097,70.0,100.0,2.0,60.0
2,2,2_0,COMPLETED,Sobol,0.08517417495024,55.0,10000.0,5.0,30.0
3,3,3_0,COMPLETED,Sobol,0.257488715094007,5.0,0.0001,2.0,35.0
4,4,4_0,COMPLETED,Sobol,0.153451741410793,10.0,1000000.0,3.0,45.0
5,5,5_0,COMPLETED,Sobol,0.056267612042892,40.0,0.0001,4.0,25.0
6,6,6_0,COMPLETED,Sobol,0.333211822123713,10.0,10000000000.0,1.0,55.0
7,7,7_0,COMPLETED,Sobol,0.050796688934328,15.0,0.01,6.0,15.0
8,8,8_0,COMPLETED,Sobol,0.12761997406495,15.0,10000.0,1.0,20.0
9,9,9_0,COMPLETED,Sobol,0.147728496820737,100.0,0.0001,6.0,45.0
10,10,10_0,COMPLETED,Sobol,0.018910813564129,40.0,100000000.0,3.0,15.0
11,11,11_0,COMPLETED,Sobol,0.20471098829659,10.0,100.0,4.0,50.0
12,12,12_0,COMPLETED,UpperConfidence,0.08015500307801,10.0,10000000000.0,4.0,15.0
13,13,13_0,COMPLETED,UpperConfidence,0.038169552962414,25.0,1000000.0,4.0,10.0
14,14,14_0,COMPLETED,UpperConfidence,0.093664244336056,10.0,10000000000.0,3.0,20.0
15,15,15_0,COMPLETED,UpperConfidence,0.027135783638553,40.0,0.0001,6.0,10.0
16,16,16_0,COMPLETED,UpperConfidence,0.025980692559107,40.0,100000000.0,5.0,15.0
17,17,17_0,COMPLETED,UpperConfidence,0.014932935400262,40.0,100000000.0,3.0,5.0
