,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.184737898573293,100.0,100.0,4.0,30.0
1,1,1_0,COMPLETED,Sobol,0.124690379382467,15.0,100.0,1.0,40.0
2,2,2_0,COMPLETED,Sobol,0.159758804808207,5.0,10000.0,6.0,15.0
3,3,3_0,COMPLETED,Sobol,0.188473851641503,55.0,0.0001,2.0,50.0
4,4,4_0,COMPLETED,Sobol,0.3944252615314,10.0,10000000000.0,1.0,60.0
5,5,5_0,COMPLETED,Sobol,0.136776461774923,10.0,1e-06,5.0,10.0
6,6,6_0,COMPLETED,Sobol,0.184669908674163,25.0,1000000.0,3.0,45.0
7,7,7_0,COMPLETED,Sobol,0.032195156136351,70.0,0.01,6.0,20.0
8,8,8_0,COMPLETED,Sobol,0.158071419022277,70.0,100000000.0,3.0,5.0
9,9,9_0,COMPLETED,Sobol,0.393594949415227,25.0,0.0001,6.0,60.0
10,10,10_0,COMPLETED,Sobol,0.064365206592949,10.0,10000.0,2.0,20.0
11,11,11_0,COMPLETED,Sobol,0.122483436389403,40.0,100.0,4.0,40.0
12,12,12_0,COMPLETED,ProbabilityOfImp,0.063739749137389,55.0,0.01,5.0,20.0
13,13,13_0,COMPLETED,ProbabilityOfImp,0.34772895629659,100.0,0.0001,6.0,15.0
14,14,14_0,COMPLETED,ProbabilityOfImp,0.082398024228586,100.0,0.0001,6.0,20.0
15,15,15_0,COMPLETED,ProbabilityOfImp,0.092022914868413,70.0,100.0,6.0,20.0
16,16,14_0,COMPLETED,ProbabilityOfImp,0.08450637232947,100.0,0.0001,6.0,25.0
17,17,14_0,COMPLETED,ProbabilityOfImp,0.179294734174617,100.0,100.0,6.0,15.0
18,18,14_0,COMPLETED,ProbabilityOfImp,0.15359807043382,100.0,100.0,6.0,25.0
19,19,14_0,COMPLETED,ProbabilityOfImp,0.304710116429507,100.0,0.0001,6.0,10.0
20,20,14_0,COMPLETED,ProbabilityOfImp,0.10057173984706,100.0,0.0001,6.0,30.0
21,21,14_0,COMPLETED,ProbabilityOfImp,0.182522439140573,100.0,100.0,6.0,10.0
22,22,14_0,COMPLETED,ProbabilityOfImp,0.081199337910553,100.0,0.0001,5.0,20.0
23,23,14_0,COMPLETED,ProbabilityOfImp,0.344626256965453,100.0,0.0001,5.0,15.0
24,24,14_0,COMPLETED,ProbabilityOfImp,0.084575499471158,100.0,0.0001,5.0,25.0
25,25,14_0,COMPLETED,ProbabilityOfImp,0.1767039647596,100.0,100.0,5.0,15.0
26,26,14_0,COMPLETED,ProbabilityOfImp,0.144989286924947,100.0,100.0,5.0,25.0
27,27,14_0,COMPLETED,ProbabilityOfImp,0.286717253003467,100.0,0.0001,5.0,10.0
28,28,14_0,COMPLETED,ProbabilityOfImp,0.18040680692413,100.0,100.0,5.0,10.0
29,29,14_0,COMPLETED,ProbabilityOfImp,0.28252905931917,100.0,0.0001,6.0,5.0
30,30,14_0,COMPLETED,ProbabilityOfImp,0.11107075714952,100.0,0.0001,6.0,35.0
31,31,14_0,COMPLETED,ProbabilityOfImp,0.10850760361385,100.0,0.0001,5.0,35.0
32,32,14_0,COMPLETED,ProbabilityOfImp,0.188599912581993,100.0,100.0,6.0,5.0
33,33,14_0,COMPLETED,ProbabilityOfImp,0.066612628675733,70.0,0.0001,6.0,20.0
34,34,14_0,COMPLETED,ProbabilityOfImp,0.028050413644566,70.0,10000.0,6.0,20.0
35,35,14_0,COMPLETED,ProbabilityOfImp,0.016584914929595,70.0,1000000.0,6.0,20.0
36,36,36_0,COMPLETED,ProbabilityOfImp,0.046217372721473,70.0,0.01,6.0,25.0
37,37,37_0,COMPLETED,ProbabilityOfImp,0.043134939842712,70.0,0.01,5.0,15.0
38,38,14_0,COMPLETED,ProbabilityOfImp,0.052890415823128,70.0,0.0001,6.0,15.0
39,39,14_0,COMPLETED,ProbabilityOfImp,0.084351197186973,70.0,0.0001,6.0,25.0
40,40,14_0,COMPLETED,ProbabilityOfImp,0.025438876750455,70.0,0.01,6.0,15.0
41,41,14_0,COMPLETED,ProbabilityOfImp,0.047391790695188,70.0,100.0,6.0,15.0
42,42,14_0,COMPLETED,ProbabilityOfImp,0.108532507906797,70.0,100.0,6.0,25.0
43,43,14_0,COMPLETED,ProbabilityOfImp,0.020965988284606,70.0,10000.0,6.0,15.0
44,44,14_0,COMPLETED,ProbabilityOfImp,0.040123924144593,70.0,10000.0,6.0,25.0
45,45,14_0,COMPLETED,ProbabilityOfImp,0.013012136960199,70.0,1000000.0,6.0,15.0
