,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.031540657907048,25.0,1000000.0,1.0,10.0
1,1,1_0,COMPLETED,Sobol,0.146514168004393,100.0,0.0001,5.0,45.0
2,2,2_0,COMPLETED,Sobol,0.093664244336056,10.0,10000000000.0,3.0,20.0
3,3,3_0,COMPLETED,Sobol,0.309814772946857,10.0,0.01,4.0,60.0
4,4,4_0,COMPLETED,Sobol,0.446483447375167,5.0,10000.0,6.0,55.0
5,5,5_0,COMPLETED,Sobol,0.082551193602592,40.0,100.0,1.0,30.0
6,6,6_0,COMPLETED,Sobol,0.069010979375609,70.0,10000.0,4.0,35.0
7,7,7_0,COMPLETED,Sobol,0.047102528224237,15.0,0.0001,2.0,15.0
8,8,8_0,COMPLETED,Sobol,0.15198796146529,10.0,10000000000.0,4.0,30.0
9,9,9_0,COMPLETED,Sobol,0.21162233867955,70.0,0.01,3.0,50.0
10,10,10_0,COMPLETED,Sobol,0.025443135896062,40.0,1000000.0,6.0,10.0
11,11,11_0,COMPLETED,Sobol,0.257488715094007,5.0,0.0001,2.0,35.0
12,12,12_0,COMPLETED,ProbabilityOfImp,0.03205986351348,40.0,10000.0,6.0,10.0
13,13,13_0,COMPLETED,ProbabilityOfImp,0.02147259471202,40.0,100000000.0,6.0,10.0
14,14,14_0,COMPLETED,ProbabilityOfImp,0.066385963850866,10.0,10000000000.0,6.0,10.0
15,15,14_0,COMPLETED,ProbabilityOfImp,0.050922423149897,10.0,10000000000.0,6.0,5.0
16,16,14_0,COMPLETED,ProbabilityOfImp,0.084241117951801,10.0,10000000000.0,6.0,15.0
17,17,14_0,COMPLETED,ProbabilityOfImp,0.10629610424218,10.0,10000000000.0,6.0,20.0
18,18,14_0,COMPLETED,ProbabilityOfImp,0.065408063641234,10.0,10000000000.0,5.0,10.0
19,19,14_0,COMPLETED,ProbabilityOfImp,0.05098658430472,10.0,10000000000.0,5.0,5.0
20,20,14_0,COMPLETED,ProbabilityOfImp,0.082738286272084,10.0,10000000000.0,5.0,15.0
21,21,14_0,COMPLETED,ProbabilityOfImp,0.10484611529218,10.0,10000000000.0,5.0,20.0
22,22,14_0,COMPLETED,ProbabilityOfImp,0.130656440889277,10.0,10000000000.0,6.0,25.0
23,23,14_0,COMPLETED,ProbabilityOfImp,0.129896887311847,10.0,10000000000.0,5.0,25.0
24,24,14_0,COMPLETED,ProbabilityOfImp,0.160348287002157,10.0,10000000000.0,6.0,30.0
25,25,14_0,COMPLETED,ProbabilityOfImp,0.063107329927486,10.0,10000000000.0,4.0,10.0
26,26,14_0,COMPLETED,ProbabilityOfImp,0.050369963521768,10.0,10000000000.0,4.0,5.0
27,27,14_0,COMPLETED,ProbabilityOfImp,0.08015500307801,10.0,10000000000.0,4.0,15.0
28,28,14_0,COMPLETED,ProbabilityOfImp,0.16025910974408,10.0,10000000000.0,5.0,30.0
29,29,14_0,COMPLETED,ProbabilityOfImp,0.09940011180679,10.0,10000000000.0,4.0,20.0
30,30,14_0,COMPLETED,ProbabilityOfImp,0.192852396472063,10.0,10000000000.0,6.0,35.0
31,31,14_0,COMPLETED,ProbabilityOfImp,0.124669887113533,10.0,10000000000.0,4.0,25.0
32,32,14_0,COMPLETED,ProbabilityOfImp,0.191495811080303,10.0,10000000000.0,5.0,35.0
33,33,14_0,COMPLETED,ProbabilityOfImp,0.227822096165433,10.0,10000000000.0,6.0,40.0
34,34,14_0,COMPLETED,ProbabilityOfImp,0.22801781983864,10.0,10000000000.0,5.0,40.0
35,35,14_0,COMPLETED,ProbabilityOfImp,0.060353581265985,10.0,10000000000.0,3.0,10.0
36,36,14_0,COMPLETED,ProbabilityOfImp,0.183693611021243,10.0,10000000000.0,4.0,35.0
37,37,14_0,COMPLETED,ProbabilityOfImp,0.048674111288145,10.0,10000000000.0,3.0,5.0
38,38,14_0,COMPLETED,ProbabilityOfImp,0.074768484445228,10.0,10000000000.0,3.0,15.0
39,39,14_0,COMPLETED,ProbabilityOfImp,0.27039058845165,10.0,10000000000.0,6.0,45.0
40,40,14_0,COMPLETED,ProbabilityOfImp,0.115673492187913,10.0,10000000000.0,3.0,25.0
