,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.214499393534757,55.0,1000000.0,3.0,40.0
1,1,1_0,COMPLETED,Sobol,0.13740211982373,5.0,0.0001,6.0,10.0
2,2,2_0,COMPLETED,Sobol,0.333211822123713,10.0,10000000000.0,1.0,55.0
3,3,3_0,COMPLETED,Sobol,0.084575499471158,100.0,0.0001,5.0,25.0
4,4,4_0,COMPLETED,Sobol,0.022390101868487,70.0,1000000.0,6.0,25.0
5,5,5_0,COMPLETED,Sobol,0.37148774613483,25.0,0.0001,3.0,60.0
6,6,6_0,COMPLETED,Sobol,0.070576410469245,10.0,10000.0,4.0,10.0
7,7,7_0,COMPLETED,Sobol,0.10566392146262,40.0,0.01,2.0,40.0
8,8,8_0,COMPLETED,Sobol,0.418098979322977,10.0,10000000000.0,4.0,60.0
9,9,9_0,COMPLETED,Sobol,0.151192577578863,10.0,0.0001,2.0,30.0
10,10,10_0,COMPLETED,Sobol,0.14321483631121,25.0,1000000.0,5.0,35.0
11,11,11_0,COMPLETED,Sobol,0.019090604204341,70.0,100.0,3.0,5.0
12,12,12_0,COMPLETED,ProbabilityOfImp,0.082398024228586,100.0,0.0001,6.0,20.0
13,13,13_0,COMPLETED,ProbabilityOfImp,0.18543405573695,100.0,100.0,3.0,5.0
14,14,14_0,COMPLETED,ProbabilityOfImp,0.028050413644566,70.0,10000.0,6.0,20.0
15,15,15_0,COMPLETED,ProbabilityOfImp,0.012057191880051,70.0,10000.0,3.0,10.0
