,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.054954639836977,55.0,0.01,3.0,25.0
1,1,1_0,COMPLETED,Sobol,0.27690326675295,5.0,10000.0,5.0,35.0
2,2,2_0,COMPLETED,Sobol,0.030273701965695,15.0,0.0001,2.0,5.0
3,3,3_0,COMPLETED,Sobol,0.362412735492947,10.0,10000000000.0,4.0,55.0
4,4,4_0,COMPLETED,Sobol,0.019356699894079,70.0,0.0001,6.0,55.0
5,5,5_0,COMPLETED,Sobol,0.031304411244665,25.0,100000000.0,2.0,15.0
6,6,6_0,COMPLETED,Sobol,0.18506110665166,10.0,100.0,5.0,45.0
7,7,7_0,COMPLETED,Sobol,0.064325407712828,40.0,1000000.0,1.0,30.0
8,8,8_0,COMPLETED,Sobol,0.024456676400322,40.0,0.0001,5.0,10.0
9,9,9_0,COMPLETED,Sobol,0.3944252615314,10.0,10000000000.0,1.0,60.0
10,10,10_0,COMPLETED,Sobol,0.112507623817793,25.0,0.01,6.0,30.0
11,11,11_0,COMPLETED,Sobol,0.082237829797501,70.0,10000.0,3.0,40.0
12,12,12_0,COMPLETED,ProbabilityOfImp,0.017467097242627,40.0,0.0001,4.0,5.0
