,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.130656440889277,10.0,10000000000.0,6.0,25.0
1,1,1_0,COMPLETED,Sobol,0.42521429410209,5.0,0.0001,1.0,55.0
2,2,2_0,COMPLETED,Sobol,0.084045054415498,15.0,10000.0,4.0,5.0
3,3,3_0,COMPLETED,Sobol,0.102276281459201,100.0,0.0001,3.0,35.0
4,4,4_0,COMPLETED,Sobol,0.258853413582303,70.0,100.0,2.0,45.0
5,5,5_0,COMPLETED,Sobol,0.103060066824124,25.0,100.0,6.0,15.0
6,6,6_0,COMPLETED,Sobol,0.397610350006653,10.0,100000000.0,3.0,55.0
7,7,7_0,COMPLETED,Sobol,0.047692685834545,40.0,0.0001,5.0,20.0
8,8,8_0,COMPLETED,Sobol,0.026674504738582,40.0,10000.0,2.0,15.0
9,9,9_0,COMPLETED,Sobol,0.16927100990966,10.0,0.01,4.0,40.0
10,10,10_0,COMPLETED,Sobol,0.08258375640435,10.0,10000000000.0,1.0,20.0
11,11,11_0,COMPLETED,Sobol,0.22752172883487,70.0,0.0001,5.0,50.0
12,12,12_0,COMPLETED,ProbabilityOfImp,0.080226891848731,100.0,0.0001,3.0,20.0
13,13,13_0,COMPLETED,ProbabilityOfImp,0.056529603277416,25.0,10000.0,2.0,15.0
14,14,14_0,COMPLETED,ProbabilityOfImp,0.019468044530099,55.0,10000.0,2.0,15.0
15,15,15_0,COMPLETED,ProbabilityOfImp,0.030741862044127,40.0,100000000.0,1.0,20.0
16,16,16_0,COMPLETED,ProbabilityOfImp,0.017120318476269,55.0,10000.0,2.0,10.0
17,17,17_0,COMPLETED,ProbabilityOfImp,0.014443475750742,40.0,100000000.0,2.0,5.0
