Kr,Rs,Ar,Vf (%),k,k_egv,k_mean,k_std,k_max,k_min
5,10000,4,25,"[[0.20841674683196, 0.0030041384876548, -0.007280641352722], [0.0030041384876548, 0.21350536832534, 0.0058131852976262], [-0.007280641352722, 0.0058131852976262, 0.2057444846757]]","[0.19716280016843324, 0.21373589770785784, 0.21676790195670906]",0.209222199944333,0.010553203525826,0.216767901956709,0.197162800168433
5,10000,5,25,"[[0.21238752543705, 0.0055808900966893, -0.0061871962787325], [0.0055808900966893, 0.21287232498077, 0.006153081413062], [-0.0061871962787325, 0.006153081413062, 0.21108544132588]]","[0.20010867469747248, 0.21795580550220367, 0.21828081154402376]",0.2121150972479,0.010399136698609,0.218280811544024,0.200108674697472
5,10000,6,25,"[[0.21172609486429, 0.0031729449807134, -0.0070558832007638], [0.0031729449807134, 0.21584884013239, 0.008247536509635], [-0.0070558832007638, 0.008247536509635, 0.21026010627515]]","[0.19957318357133635, 0.21616954255173762, 0.2220923151487561]",0.212611680423943,0.011673543118547,0.222092315148756,0.199573183571336
5,10000,1,30,"[[0.22085610370278, -0.0006388203309512, -0.0025083707304662], [-0.0006388203309512, 0.21958452186272, 0.0011908632979077], [-0.0025083707304662, 0.0011908632979077, 0.21891139642577]]","[0.2230034954000541, 0.2170254985697778, 0.21932302802143824]",0.219784007330423,0.003015541073868,0.223003495400054,0.217025498569778
5,10000,2,30,"[[0.2228133958501, -0.0022779171833717, 0.0009168942908984], [-0.0022779171833717, 0.22649325668788, 0.0018738052087889], [0.0009168942908984, 0.0018738052087889, 0.22725649537063]]","[0.22125875582718887, 0.22640337168245367, 0.2289010203989675]",0.22552104930287,0.00389678348544,0.228901020398968,0.221258755827189
5,10000,3,30,"[[0.23025156183847, 0.0023967019239119, -0.0023064511030605], [0.0023967019239119, 0.23390630973857, 0.0057858184105677], [-0.0023064511030605, 0.0057858184105677, 0.23477354404936]]","[0.22596032741593877, 0.23282870628949984, 0.24014238192096127]",0.232977138542133,0.007092192298301,0.240142381920961,0.225960327415939
5,10000,4,30,"[[0.23828603209052, 0.0041402104294588, -0.0097910511379433], [0.0041402104294588, 0.24250255598066, 0.004664038611859], [-0.0097910511379433, 0.004664038611859, 0.23601455415683]]","[0.22506330553238404, 0.24700703937894417, 0.24473279731668138]",0.23893438074267,0.012066403352138,0.247007039378944,0.225063305532384
5,10000,5,30,"[[0.2438358299458, 0.0039686639173818, -0.0091321908971658], [0.0039686639173818, 0.24482491505238, 0.0086115825243496], [-0.0091321908971658, 0.0086115825243496, 0.24349728591522]]","[0.22926535099623827, 0.24831844656445884, 0.25457423335270263]",0.244052676971133,0.013182658085562,0.254574233352703,0.229265350996238
5,10000,6,30,"[[0.24277608063602, 0.0007533053131418, -0.010549535277955], [0.0007533053131418, 0.2457299680571, 0.01022227721171], [-0.010549535277955, 0.01022227721171, 0.24349012555248]]","[0.22871732458543378, 0.2450371836014659, 0.2582416660587007]",0.243998724748533,0.014789539629395,0.258241666058701,0.228717324585434
5,10000,1,35,"[[0.25448268983691, 0.0006261942630483, -0.0032995091581986], [0.0006261942630483, 0.25018132035504, 0.0026968723241374], [-0.0032995091581986, 0.0026968723241374, 0.25006988414717]]","[0.24639330898396034, 0.25634346633219185, 0.25199711902296795]",0.251577964779707,0.004988303872397,0.256343466332192,0.24639330898396
5,10000,2,35,"[[0.25670664226326, -0.0007183685447224, 0.0011839404703738], [-0.0007183685447224, 0.25601696451578, 0.00060834519279], [0.0011839404703738, 0.00060834519279, 0.25974467625201]]","[0.2601810329661163, 0.2570312180996402, 0.2552560319652938]",0.257489427677017,0.00249426857558,0.260181032966116,0.255256031965294
5,10000,3,35,"[[0.26327760565714, -6.5216862433736e-05, -0.0044681717049095], [-6.5216862433736e-05, 0.26514673523174, 0.0031180421798707], [-0.0044681717049095, 0.0031180421798707, 0.26680463078365]]","[0.2710562913128084, 0.25963997844009623, 0.2645327019196254]",0.265076323890843,0.00572753817426,0.271056291312808,0.259639978440096
5,10000,4,35,"[[0.27252752569047, 0.0030736233178847, -0.01318365337636], [0.0030736233178847, 0.27566587563721, 0.0042228851682529], [-0.01318365337636, 0.0042228851682529, 0.26794793446021]]","[0.2555096276711834, 0.283638066971661, 0.2769936411450456]",0.272047111929297,0.014702155890612,0.283638066971661,0.255509627671183
5,10000,5,35,"[[0.27477577616087, 0.0095278682291385, -0.0084233215484586], [0.0095278682291385, 0.2791303975012, 0.011915310044977], [-0.0084233215484586, 0.011915310044977, 0.27680362659678]]","[0.2569843352968498, 0.2835638709381615, 0.29016159402383895]",0.27690326675295,0.017562897262224,0.290161594023839,0.25698433529685
5,10000,6,35,"[[0.27849963880578, 0.0044464632920172, -0.0059442381194919], [0.0044464632920172, 0.27906245850826, 0.010875300019826], [-0.0059442381194919, 0.010875300019826, 0.2754004672844]]","[0.2627213959686837, 0.2819544233476683, 0.28828674528208803]",0.27765418819948,0.013314119878024,0.288286745282088,0.262721395968684
5,10000,1,40,"[[0.29253287227451, 0.0017193640598469, 0.0001159026632768], [0.0017193640598469, 0.28835800497491, 0.0056419267484046], [0.0001159026632768, 0.0056419267484046, 0.28508210630984]]","[0.29404181821937037, 0.29116221111195467, 0.2807689542279352]",0.28865766118642,0.006981891389939,0.29404181821937,0.280768954227935
5,10000,2,40,"[[0.29510841987796, -0.0058707088407061, 0.0027177279271362], [-0.0058707088407061, 0.29361103815866, 0.0021000914844257], [0.0027177279271362, 0.0021000914844257, 0.29579461647728]]","[0.2871249169906287, 0.3003944216365407, 0.2969947358867303]",0.294838024837967,0.006892640299469,0.300394421636541,0.287124916990629
5,10000,3,40,"[[0.30061838448134, 0.0016689667770242, -0.0022463591838248], [0.0016689667770242, 0.30183949376241, 0.0010867408245662], [-0.0022463591838248, 0.0010867408245662, 0.30406712280647]]","[0.2983783581767604, 0.3029510073217027, 0.30519563555175705]",0.302175000350073,0.00347425644087,0.305195635551757,0.29837835817676
5,10000,4,40,"[[0.30989834259031, 0.0037099571520276, -0.01411489844304], [0.0037099571520276, 0.3109993123503, -0.0003089054324935], [-0.01411489844304, -0.0003089054324935, 0.3056440915532]]","[0.2932233018303483, 0.3228242015524476, 0.3104942431110137]",0.30884724883127,0.014869020099105,0.322824201552448,0.293223301830348
5,10000,5,40,"[[0.3131790643277, 0.0106986560982, -0.0096944974197994], [0.0106986560982, 0.31067962110951, 0.0067276136189314], [-0.0096944974197994, 0.0067276136189314, 0.31551913503575]]","[0.2947408619348617, 0.3247790324559785, 0.31985792608212005]",0.313125940157653,0.016110948076676,0.324779032455978,0.294740861934862
5,10000,6,40,"[[0.31575980196982, 0.0035961537884739, -0.0063604379265743], [0.0035961537884739, 0.31174294189143, 0.0068012885166414], [-0.0063604379265743, 0.0068012885166414, 0.31252561775381]]","[0.30176932513380483, 0.3210584727750056, 0.3172005637062497]",0.31334278720502,0.010206842500553,0.321058472775006,0.301769325133805
5,10000,1,45,"[[0.33362556027881, 0.0005964184209726, 0.0001651369651844], [0.0005964184209726, 0.32952949181556, 0.0040316015209301], [0.0001651369651844, 0.0040316015209301, 0.32752777928992]]","[0.3338998317540665, 0.33241445265314506, 0.32436854697707823]",0.33022761046143,0.005128163068157,0.333899831754066,0.324368546977078
5,10000,2,45,"[[0.33514495177215, -0.0041229063556682, 0.0046511832666857], [-0.0041229063556682, 0.33419349835374, 0.000103607659153], [0.0046511832666857, 0.000103607659153, 0.33877449578123]]","[0.34263800854504606, 0.3293004497589692, 0.33617448760310503]",0.336037648635707,0.006669832252033,0.342638008545046,0.329300449758969
5,10000,3,45,"[[0.34390135485434, -0.0026141188028832, -0.00155944114321], [-0.0026141188028832, 0.345001918529, 0.0003503095096473], [-0.00155944114321, 0.0003503095096473, 0.33893106423517]]","[0.34731484593101514, 0.3420648575623043, 0.3384546341251909]",0.342611445872837,0.004455323489594,0.347314845931015,0.338454634125191
5,10000,4,45,"[[0.35206017130694, 0.0073961183324203, -0.014439530259243], [0.0073961183324203, 0.34787349005867, -0.0015464209499975], [-0.014439530259243, -0.0015464209499975, 0.34954503982713]]","[0.36750097043170465, 0.3350107253984727, 0.34696700536256264]",0.349826233730913,0.016432753747521,0.367500970431705,0.335010725398473
5,10000,5,45,"[[0.35490736943654, 0.014072044389184, -0.012433277848431], [0.014072044389184, 0.34876044369054, 0.0072686563886197], [-0.012433277848431, 0.0072686563886197, 0.35735965376486]]","[0.3304969971327784, 0.36996873142788295, 0.3605617383312786]",0.353675822297313,0.020617136847437,0.369968731427883,0.330496997132778
5,10000,6,45,"[[0.3584847724863, 0.0051581552223299, -0.010433118712242], [0.0051581552223299, 0.34619456701147, 0.0063670352220354], [-0.010433118712242, 0.0063670352220354, 0.35695480857592]]","[0.3385284079779628, 0.3681973545371413, 0.3549083855585855]",0.353878049357896,0.014861285004928,0.368197354537141,0.338528407977963
5,10000,1,50,"[[0.37724280344555, 0.0001642637459244, 0.0017500377974029], [0.0001642637459244, 0.37333263366606, 0.0077791771585408], [0.0017500377974029, 0.0077791771585408, 0.37163061835727]]","[0.380788880521165, 0.37687421210089084, 0.3645429628468242]",0.374068685156293,0.008478543291628,0.380788880521165,0.364542962846824
5,10000,2,50,"[[0.38047252892087, -0.0061653329082739, 0.0023663026748585], [-0.0061653329082739, 0.38159930980634, 0.0022846106458102], [0.0023663026748585, 0.0022846106458102, 0.38282287685266]]","[0.37366444609965543, 0.38722934006833837, 0.38400092941187597]",0.381631571859957,0.007086041102197,0.387229340068338,0.373664446099655
5,10000,3,50,"[[0.38943673084468, -0.0088558295684861, -0.0028550539544276], [-0.0088558295684861, 0.38821483976179, 0.0036055913784072], [-0.0028550539544276, 0.0036055913784072, 0.3833894080984]]","[0.3990271237461478, 0.3797581272773006, 0.38225572768142163]",0.38701365956829,0.010478644621762,0.399027123746148,0.379758127277301
5,10000,4,50,"[[0.39791428297992, 0.0051311412549961, -0.015707784663678], [0.0051311412549961, 0.39140150636052, -0.002936331457283], [-0.015707784663678, -0.002936331457283, 0.39341009820038]]","[0.4130850916158598, 0.3796715553961013, 0.38996924052885884]",0.394241962513607,0.017111639767903,0.41308509161586,0.379671555396101
5,10000,5,50,"[[0.40133578515045, 0.015446400753152, -0.010083685786062], [0.015446400753152, 0.38864649571173, 0.0037659197538471], [-0.010083685786062, 0.0037659197538471, 0.40117724196535]]","[0.3752198413005583, 0.4150369344086697, 0.4009027471183025]",0.397053174275843,0.020185753248196,0.41503693440867,0.375219841300558
5,10000,6,50,"[[0.40277894375005, 0.0052366719000483, -0.0086289458725623], [0.0052366719000483, 0.38964493497482, 0.0020954849676907], [-0.0086289458725623, 0.0020954849676907, 0.40385249492415]]","[0.4121637891088517, 0.39789469359756086, 0.3862178909426081]",0.39875879121634,0.012994514474745,0.412163789108852,0.386217890942608
5,10000,1,55,"[[0.42930108350117, 0.0004926371364959, 0.003409887194816], [0.0004926371364959, 0.42424093902002, 0.0039948135940496], [0.003409887194816, 0.0039948135940496, 0.42210489360014]]","[0.43129832264849777, 0.4258807899059293, 0.41846780356690283]",0.42521563870711,0.006441069364924,0.431298322648498,0.418467803566903
5,10000,2,55,"[[0.42943053039684, -0.0026902742631524, 0.0061804861357546], [-0.0026902742631524, 0.4303211285811, 0.0019483527877364], [0.0061804861357546, 0.0019483527877364, 0.42825632769864]]","[0.42144012828355765, 0.43516703204728, 0.4314008263457421]",0.42933599555886,0.007092574734782,0.43516703204728,0.421440128283558
5,10000,3,55,"[[0.43866262114423, -0.0077954623769359, -0.004542570894331], [-0.0077954623769359, 0.43342423530416, 0.0015210213505918], [-0.004542570894331, 0.0015210213505918, 0.43704338644183]]","[0.4465056885617668, 0.4275753554788994, 0.4350491988495539]",0.436376747630073,0.009534734761941,0.446505688561767,0.427575355478899
5,10000,4,55,"[[0.44710524653473, 0.0019771554112109, -0.011095805030638], [0.0019771554112109, 0.43693809629803, -0.0007036089934037], [-0.011095805030638, -0.0007036089934037, 0.44292144543575]]","[0.45650344145466687, 0.4335603005877252, 0.43690104622611853]",0.442321596089503,0.012394906164476,0.456503441454667,0.433560300587725
5,10000,5,55,"[[0.44609998987288, 0.0067632353770995, -0.011413232671879], [0.0067632353770995, 0.4378108281101, 0.0044106659508365], [-0.011413232671879, 0.0044106659508365, 0.44999396825092]]","[0.4290837248782343, 0.4596764978985455, 0.44514456345712056]",0.444634928744634,0.015302752560347,0.459676497898546,0.429083724878234
5,10000,6,55,"[[0.44947513849519, -0.0062598559448088, -0.011044935060392], [-0.0062598559448088, 0.43729412677351, 0.0048937802952884], [-0.011044935060392, 0.0048937802952884, 0.4526810768568]]","[0.4644825152621973, 0.440321669402444, 0.43464615746085866]",0.446483447375167,0.015843853462817,0.464482515262197,0.434646157460859
5,10000,1,60,"[[0.48020464333368, 0.0035531153682225, 0.0075578230784827], [0.0035531153682225, 0.47958785665827, 0.0054783878225734], [0.0075578230784827, 0.0054783878225734, 0.4785776758495]]","[0.490639375833853, 0.47644298588370737, 0.47128781412389]",0.479456725280483,0.010021611847272,0.490639375833853,0.47128781412389
5,10000,2,60,"[[0.48357004719391, 0.0001222605925792, 0.0036639443429881], [0.0001222605925792, 0.48179544932938, 0.0050687295590116], [0.0036639443429881, 0.0050687295590116, 0.47844817638807]]","[0.4738769437183034, 0.48275716239935396, 0.4871795667937034]",0.481271224303787,0.006774655281963,0.487179566793703,0.473876943718303
5,10000,3,60,"[[0.49078700799542, -0.0096966992009564, -0.0012158807689066], [-0.0096966992009564, 0.48730317111785, 0.0032562595222734], [-0.0012158807689066, 0.0032562595222734, 0.48837171834391]]","[0.4997124903059506, 0.4788670916568865, 0.48788231549434263]",0.488820632485727,0.010454328782463,0.499712490305951,0.478867091656887
5,10000,4,60,"[[0.50030672506567, 0.0023650913389063, -0.012603608443191], [0.0023650913389063, 0.48484743435765, 0.0015682641150223], [-0.012603608443191, 0.0015682641150223, 0.49393966983582]]","[0.5101551800791739, 0.481758365532966, 0.4871802836469995]",0.493031276419713,0.015075488596151,0.510155180079174,0.481758365532966
5,10000,5,60,"[[0.49627283040767, 0.0050145441074117, -0.0096997403915655], [0.0050145441074117, 0.48832870594151, 0.0053347479984965], [-0.0096997403915655, 0.0053347479984965, 0.50354384835167]]","[0.5103861266119628, 0.49605086108238805, 0.4817083970064988]",0.49604846156695,0.014338864953311,0.510386126611963,0.481708397006499
5,10000,6,60,"[[0.50055305754521, -0.0074289281299938, -0.010841447621754], [-0.0074289281299938, 0.48838946424173, 0.0051807065582285], [-0.010841447621754, 0.0051807065582285, 0.50388281035317]]","[0.5159935003528359, 0.49196161237352243, 0.484870219413751]",0.497608444046703,0.016311949149695,0.515993500352836,0.484870219413751
5,0.0001,1,5,"[[0.11253930692607, 4.3303461631121e-05, -0.0006831440809878], [4.3303461631121e-05, 0.11326913892878, 0.0002295091341813], [-0.0006831440809878, 0.0002295091341813, 0.11316350792644]]","[0.11207836485304007, 0.1136761606763322, 0.11321742825191779]",0.11299065126043,0.00082268385552,0.113676160676332,0.11207836485304
5,0.0001,2,5,"[[0.1130599993904, -0.0004658742704164, -0.000642489420209], [-0.0004658742704164, 0.11369469101893, -0.0008506689026369], [-0.000642489420209, -0.0008506689026369, 0.11508292332628]]","[0.11244148843345059, 0.11384573215077486, 0.11555039315138431]",0.113945871245203,0.001556869620415,0.115550393151384,0.112441488433451
5,0.0001,3,5,"[[0.11434685304849, -0.0011053686584313, 0.0003954015889176], [-0.0011053686584313, 0.11519203860408, -0.000570555365291], [0.0003954015889176, -0.000570555365291, 0.11574092411263]]","[0.11358604795275978, 0.11654909279185266, 0.11514467502058774]",0.115093271921733,0.001482191076936,0.116549092791853,0.11358604795276
5,0.0001,4,5,"[[0.11552562005203, -0.0010668180353518, -0.0010877120586128], [-0.0010668180353518, 0.11581713699597, 0.0001603171698384], [-0.0010877120586128, 0.0001603171698384, 0.11834137635029]]","[0.11880270332555108, 0.11445237986277397, 0.11642905020996483]",0.11656137779943,0.002178178482333,0.118802703325551,0.114452379862774
5,0.0001,5,5,"[[0.11565465855236, 0.0017502552732196, -0.001474465024552], [0.0017502552732196, 0.11581325383556, 0.0008558554033221], [-0.001474465024552, 0.0008558554033221, 0.11948500206612]]","[0.11351845227417688, 0.11742989590796768, 0.12000456627189547]",0.116984304818013,0.003265935128326,0.120004566271895,0.113518452274177
5,0.0001,6,5,"[[0.11527741784103, 0.0007747541229694, -0.0021549763500486], [0.0007747541229694, 0.11627497031395, 5.2486700729021e-05], [-0.0021549763500486, 5.2486700729021e-05, 0.11912624219734]]","[0.12011027739513573, 0.11407054952148386, 0.11649780343570033]",0.116892876784107,0.003039184168475,0.120110277395136,0.114070549521484
5,0.0001,1,10,"[[0.1278655515663, -8.9437223429721e-05, -0.0007475704680138], [-8.9437223429721e-05, 0.1285956023993, 0.0007371947789388], [-0.0007475704680138, 0.0007371947789388, 0.12879843505085]]","[0.1296690791185011, 0.127370234666224, 0.12822027523172497]",0.128419863005483,0.001162345866563,0.129669079118501,0.127370234666224
5,0.0001,2,10,"[[0.12818056102176, -0.0016264055289878, -3.9957031241332e-06], [-0.0016264055289878, 0.1317867083457, 0.0001041281942671], [-3.9957031241332e-06, 0.0001041281942671, 0.1318451671264]]","[0.12755514739039459, 0.1324285397642292, 0.13182874933923622]",0.130604145497953,0.002657485509537,0.132428539764229,0.127555147390395
5,0.0001,3,10,"[[0.13187815650534, -0.0018384300605606, 2.1375438193312e-05], [-0.0018384300605606, 0.13306221807828, 0.0009412672468931], [2.1375438193312e-05, 0.0009412672468931, 0.13405541999765]]","[0.13044462775828336, 0.13352568542905352, 0.1350254813939331]",0.132998598193757,0.002335470128908,0.135025481393933,0.130444627758283
5,0.0001,4,10,"[[0.13448507382833, -0.0016088662533808, -0.0020487316357206], [-0.0016088662533808, 0.1349159692928, 0.0019222797319046], [-0.0020487316357206, 0.0019222797319046, 0.13724955709917]]","[0.1396272501524263, 0.13303582133245412, 0.1339875287354197]",0.135550200073433,0.003562750307723,0.139627250152426,0.133035821332454
5,0.0001,5,10,"[[0.13328086161261, 0.0025623300743105, -0.0013932097923176], [0.0025623300743105, 0.13686696246658, 0.0031178337149979], [-0.0013932097923176, 0.0031178337149979, 0.14020914221713]]","[0.13110156692349928, 0.13717799857436114, 0.14207740079845954]",0.136785655432107,0.005498425426305,0.142077400798459,0.131101566923499
5,0.0001,6,10,"[[0.13375717991586, 0.0021164714818128, -0.0021317435469997], [0.0021164714818128, 0.1389442382428, 0.0032595609838607], [-0.0021317435469997, 0.0032595609838607, 0.13950494131253]]","[0.13165861827464614, 0.13804891002786823, 0.1424988311686755]",0.13740211982373,0.005448973029214,0.142498831168676,0.131658618274646
