,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.224112185205993,70.0,0.0001,4.0,50.0
1,1,1_0,COMPLETED,Sobol,0.11509332025513,5.0,10000.0,3.0,5.0
2,2,2_0,COMPLETED,Sobol,0.142264950420873,15.0,100.0,5.0,35.0
3,3,3_0,COMPLETED,Sobol,0.10159633102379,10.0,10000000000.0,1.0,25.0
4,4,4_0,COMPLETED,Sobol,0.044943199421449,55.0,0.01,2.0,25.0
5,5,5_0,COMPLETED,Sobol,0.175520353943037,25.0,100000000.0,4.0,45.0
6,6,6_0,COMPLETED,Sobol,0.14915511375478,10.0,1e-06,2.0,15.0
7,7,7_0,COMPLETED,Sobol,0.248351047748833,100.0,100.0,6.0,60.0
8,8,8_0,COMPLETED,Sobol,0.149217244896733,100.0,100.0,1.0,45.0
9,9,9_0,COMPLETED,Sobol,0.160348287002157,10.0,10000000000.0,6.0,30.0
10,10,10_0,COMPLETED,Sobol,0.29554408854971,25.0,0.0001,2.0,55.0
11,11,11_0,COMPLETED,Sobol,0.02616105257764,55.0,1000000.0,4.0,10.0
12,12,12_0,COMPLETED,ProbabilityOfImp,0.015523184934143,70.0,10000.0,3.0,15.0
