,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.017125244679837,70.0,100.0,6.0,50.0
1,1,1_0,COMPLETED,Sobol,0.073706400746249,15.0,100000000.0,1.0,25.0
2,2,2_0,COMPLETED,Sobol,0.308846749426273,5.0,0.0001,4.0,40.0
3,3,3_0,COMPLETED,Sobol,0.018675812093649,40.0,1000000.0,3.0,5.0
4,4,4_0,COMPLETED,Sobol,0.067202265439713,55.0,0.0001,1.0,10.0
5,5,5_0,COMPLETED,Sobol,0.180885241247297,10.0,10000.0,6.0,45.0
6,6,6_0,COMPLETED,Sobol,0.076006911765277,25.0,0.01,2.0,30.0
7,7,7_0,COMPLETED,Sobol,0.367596662823363,10.0,10000000000.0,5.0,55.0
8,8,8_0,COMPLETED,Sobol,0.120418382053083,100.0,0.0001,2.0,40.0
9,9,9_0,COMPLETED,Sobol,0.049936240179451,25.0,1000000.0,4.0,15.0
10,10,10_0,COMPLETED,Sobol,0.24693340465675,10.0,100.0,2.0,60.0
11,11,11_0,COMPLETED,Sobol,0.117041322455813,55.0,1000000.0,5.0,25.0
12,12,12_0,COMPLETED,ProbabilityOfImp,0.028453998733172,25.0,1000000.0,2.0,5.0
13,13,13_0,COMPLETED,ProbabilityOfImp,0.026537193605336,40.0,10000.0,3.0,10.0
14,14,14_0,COMPLETED,ProbabilityOfImp,0.021829794713049,25.0,100000000.0,3.0,5.0
15,15,15_0,COMPLETED,ProbabilityOfImp,0.014405362875574,70.0,0.01,6.0,55.0
